ExpositionAreaName,ExpositionSectionName,Name,ObjectNumber,RoomNumber,AvailableForVisitors,LocationTypeCode,Note,District,Workplace,Department
Darwinův kráter,Darwinův kráter,austrálie buš     ,,,1,, papoušek vlnkovaný,Austrálie,Bažantnice,Chov 1
Darwinův kráter,Darwinův kráter,austrálie buš     ,,,1,, holub wonga,Austrálie,Bažantnice,Chov 1
Darwinův kráter,Darwinův kráter,austrálie buš     ,,,1,, holub bronzovokřídlý,Austrálie,Bažantnice,Chov 1
Darwinův kráter,Darwinův kráter,austrálie buš     ,,,1,, kakadu havraní,Austrálie,Bažantnice,Chov 1
Darwinův kráter,Darwinův kráter,austrálie mokřad  ,,,1,, ibis slámokrký,Austrálie,Bažantnice,Chov 1
Darwinův kráter,Darwinův kráter,austrálie mokřad  ,,,1,, kormorán černobílý,Austrálie,Bažantnice,Chov 1
Darwinův kráter,Darwinův kráter,austrálie mokřad  ,,,1,, kvakoš rezavý,Austrálie,Bažantnice,Chov 1
Darwinův kráter,Darwinův kráter,austrálie mokřad  ,,,1,, polák hnědavý,Austrálie,Bažantnice,Chov 1
Darwinův kráter,Darwinův kráter,austrálie mokřad  ,,,1,, husice australská,Austrálie,Bažantnice,Chov 1
Darwinův kráter,Darwinův kráter,výběh wombat      ,,,1,, *(žádný druh nezapsán)*,Austrálie,Bažantnice,Chov 1
Dvojzoborožci,Ptáci jihovýchodní Asie,P5a          ,,,1,, dvojzoborožec nosorožčí,Zoborožci,Bažantnice,Chov 1
Dvojzoborožci,Ptáci jihovýchodní Asie,P5b          ,,,1,, loskuták posvátný,Zoborožci,Bažantnice,Chov 1
Dvojzoborožci,Ptáci jihovýchodní Asie,P5b          ,,,1,, kagu chocholatý,Zoborožci,Bažantnice,Chov 1
Dvojzoborožci,Ptáci jihovýchodní Asie,P5c          ,,,1,, dvojzoborožec indický,Zoborožci,Bažantnice,Chov 1
Dvojzoborožci,Ptáci jihovýchodní Asie,P5d          ,,,1,, ibis madagaskarský,Zoborožci,Bažantnice,Chov 1
Dvojzoborožci,Ptáci jihovýchodní Asie,P5d          ,,,1,, holub růžový,Zoborožci,Bažantnice,Chov 1
Dvojzoborožci,Ptáci jihovýchodní Asie,výběh        ,,,1,, husa kuří,Zoborožci,Bažantnice,Chov 1
Dvojzoborožci,Ptáci jihovýchodní Asie,E1           ,,,1,, dvojzoborožec hnědavý,Nová Bažantnice,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),Expozice navolno   ,,,0,, bulbul červenouchý  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),Přípravna          ,,,0,, lori balijský  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),Přípravna          ,,,0,, loriček zlatouchý  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),uměl. odchov        ,,,0,, lori sumbavský + l. vlnkovaný  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),M1                 ,,,0,, lori sumbavský + l. vlnkovaný  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),M2                 ,,,0,, lori balijský  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),IK1                ,,,0,, lori balijský  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),IK2                ,,,0,, loriček oranžovoprsý  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),IK3                ,,,0,, charmozin Stellin  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),IK4                ,,,0,, loriček zlatouchý  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),IK5                ,,,0,, loriček rudobradý  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),IK5                ,,,0,, loriček rudobradý  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),IV1                ,,,0,, *(prázdné)*  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),JV2                ,,,0,, loriček rudobradý  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),IK6                ,,,0,, lori vlnkovaný  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),IK7                ,,,0,, lori vlnkovaný  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),IK8                ,,,0,, loriček zlatouchý  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),IK9                ,,,0,, loriček rudobradý  ,Indonesie,Bažantnice,Chov 1
Indonéská džungle,chovné zázemí ptáků (Indonéská džungle),IK10               ,,,0,, loriček oranžovoprsý  ,Indonesie,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,LEP1 a   ,,,1,, lori černohlavý  ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,LEP1 b   ,,,1,, loríček oranžovoprsý  ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,LEP2 a   ,,,1,, lori olivový  ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,LEP2 b   ,,,1,, loriček červenohlavý  ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,LEP3 a   ,,,1,, loriček rudobradý  ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,LEP3 b   ,,,1,, loriček zlatouchý  ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,LEP3 b   ,,,1,, charmozin Stellin  ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,LEP4 a   ,,,1,, lori balijský  ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,LEP4 b   ,,,1,, lori vlnkovaný  ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,LEP5     ,,,1,, lori žlutokrčný  ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,LEP5     ,,,1,, lori horský  ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,LEP5     ,,,1,, papoušek nádherný  ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,LEP5     ,,,1,, holub chocholatý  ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,Box1     ,,,0,, lori žlutokrčný ?? ,Loriové,Bažantnice,Chov 1
Papouščí stezka,Papouščí stezka,Box2     ,,,0,, *(prázdné)*,Loriové,Bažantnice,Chov 1
Ptáci jihovýchodní Asie,Bažantnice,H2 vně       ,,,0,, bažant Edwardsův,Hvězda,Bažantnice,Chov 1
Ptáci jihovýchodní Asie,Bažantnice,H3 vni       ,,,0,, sova indická,Hvězda,Bažantnice,Chov 1
Ptáci jihovýchodní Asie,Bažantnice,H3 vně       ,,,0,, satyr Cabotův,Hvězda,Bažantnice,Chov 1
Ptáci jihovýchodní Asie,Bažantnice,H4 vně       ,,,0,, sojkovec rezavouchý,Hvězda,Bažantnice,Chov 1
Ptáci jihovýchodní Asie,Bažantnice,H4 vně       ,,,0,, bažant Edwardsův,Hvězda,Bažantnice,Chov 1
Ptáci jihovýchodní Asie,Bažantnice,H5 vni       ,,,0,, drozd černoprsý,Hvězda,Bažantnice,Chov 1
Ptáci jihovýchodní Asie,Bažantnice,H5 vně       ,,,0,, bažant Edwardsův,Hvězda,Bažantnice,Chov 1
Ptáci jihovýchodní Asie,Bažantnice,H7 vni       ,,,0,, zoborožec rýhozobý,Hvězda,Bažantnice,Chov 1
Ptáci jihovýchodní Asie,Bažantnice,P1b          ,,,1,, bažant Edwardsův,Nová Bažantnice,Bažantnice,Chov 1
Ptáci jihovýchodní Asie,Bažantnice,P1b          ,,,1,, drozd černoprsý,Nová Bažantnice,Bažantnice,Chov 1
Ptáci jihovýchodní Asie,Bažantnice,P1b          ,,,1,, sojkovec šedohnědý,Nová Bažantnice,Bažantnice,Chov 1
Ptáci jihovýchodní Asie,Bažantnice,P1a vně       ,,,1,, sojkovec chocholatý,Nová Bažantnice,Bažantnice,Chov 1
Ptáci jihovýchodní Asie,Bažantnice,P1a vni       ,,,1,, bažant vietnamský,Nová Bažantnice,Bažantnice,Chov 1
